Product,Type,AirTeperature,ProcessTeperature,Rotationa1speed,Torque,Too1wear,ac2inefai1ure,TWF,DF,PWF,OSF,RNF
14860,0,298.1,308.6,1551,43,0,0,0,0,0,0,0
147181,1,298.2,308.7,1408,46,3,0,0,0,0,0,0
147182,1,298.1,308.5,1498,428,5,0,0,0,0,0,0
147183,1,298.2,308.6,1433,395,7,0,0,0,0,0,0
147184,1,298.2,308.7,1408,40,9,0,0,0,0,0,0
14865,0,298.1,308.6,1425,419,11,0,0,0,0,0,0
147186,1,298.1,308.6,1558,424,14,0,0,0,0,0,0
147187,1,298.1,308.6,1527,402,16,0,0,0,0,0,0
14868,0,298.3,308.7,1667,286,18,0,0,0,0,0,0
14869,0,298.5,309,1741,28,21,0,0,0,0,0,0
229424,2,298.4,308.9,1782,239,24,0,0,0,0,0,0
229425,2,298.6,309.1,1423,443,29,0,0,0,0,0,0
14872,0,298.6,309.1,1339,511,34,0,0,0,0,0,0
14873,0,298.6,309.2,1742,30,37,0,0,0,0,0,0
147194,1,298.6,309.2,2035,196,40,0,0,0,0,0,0
147195,1,298.6,309.2,1542,484,42,0,0,0,0,0,0
14876,0,298.6,309.2,1311,466,44,0,0,0,0,0,0
14877,0,298.7,309.2,1410,456,47,0,0,0,0,0,0
229432,2,298.8,309.2,1306,545,50,0,0,0,0,0,0
14879,0,298.9,309.3,1632,325,55,0,0,0,0,0,0
229434,2,298.9,309.3,1375,427,58,0,0,0,0,0,0
147201,1,298.8,309.3,1450,448,63,0,0,0,0,0,0
14882,0,298.9,309.3,1581,307,65,0,0,0,0,0,0
147203,1,299,309.4,1758,257,68,0,0,0,0,0,0
14884,0,299,309.4,1561,373,70,0,0,0,0,0,0
147205,1,299,309.5,1861,233,73,0,0,0,0,0,0
147206,1,299.1,309.5,1512,39,75,0,0,0,0,0,0
229441,2,299.1,309.4,1811,246,77,0,0,0,0,0,0
147208,1,299.1,309.4,1439,442,82,0,0,0,0,0,0
147209,1,299,309.4,1693,301,84,0,0,0,0,0,0
14890,0,299.1,309.5,1339,482,86,0,0,0,0,0,0
147211,1,299,309.4,1798,255,89,0,0,0,0,0,0
147212,1,299,309.4,1419,483,91,0,0,0,0,0,0
147213,1,298.9,309.3,1665,325,93,0,0,0,0,0,0
14894,0,298.8,309.1,1559,347,95,0,0,0,0,0,0
14895,0,298.8,309.2,1452,486,98,0,0,0,0,0,0
14896,0,298.9,309.2,1581,367,101,0,0,0,0,0,0
147217,1,298.8,309.1,1439,392,104,0,0,0,0,0,0
229452,2,298.9,309.2,1379,507,106,0,0,0,0,0,0
147219,1,298.8,309.1,1350,525,111,0,0,0,0,0,0
147220,1,298.8,309.1,1362,454,113,0,0,0,0,0,0
147221,1,298.8,309.1,1368,508,115,0,0,0,0,0,0
14902,0,298.8,309.1,1368,491,117,0,0,0,0,0,0
229457,2,298.8,309.2,1372,485,120,0,0,0,0,0,0
14904,0,298.8,309.1,1472,475,125,0,0,0,0,0,0
147225,1,298.8,309.1,1489,491,128,0,0,0,0,0,0
14906,0,298.7,309,1843,258,130,0,0,0,0,0,0
147227,1,298.8,309.1,1418,463,133,0,0,0,0,0,0
229462,2,298.8,309.2,1425,539,135,0,0,0,0,0,0
14909,0,298.9,309.2,1412,441,140,0,0,0,0,0,0
147230,1,298.9,309.1,2861,46,143,1,0,0,1,0,0
147231,1,298.9,309.1,1383,549,145,0,0,0,0,0,0
229466,2,298.8,309,1497,438,147,0,0,0,0,0,0
147233,1,298.7,309,1565,351,152,0,0,0,0,0,0
147234,1,298.7,309,1691,301,154,0,0,0,0,0,0
147235,1,298.8,309.1,1512,407,156,0,0,0,0,0,0
147236,1,298.8,309.1,1477,424,158,0,0,0,0,0,0
147237,1,298.8,309.1,1513,403,160,0,0,0,0,0,0
14918,0,298.8,309,1661,295,162,0,0,0,0,0,0
147239,1,298.8,309.1,1378,544,165,0,0,0,0,0,0
147240,1,298.8,309.1,1393,526,167,0,0,0,0,0,0
14921,0,298.8,309,1592,382,169,0,0,0,0,0,0
147242,1,298.8,309,1829,229,172,0,0,0,0,0,0
14923,0,298.9,309,1812,259,174,0,0,0,0,0,0
147244,1,299,309.1,1523,386,177,0,0,0,0,0,0
147245,1,299,309.1,1394,451,179,0,0,0,0,0,0
14926,0,298.9,308.9,1679,287,181,0,0,0,0,0,0
229481,2,298.8,308.9,1466,441,184,0,0,0,0,0,0
147248,1,298.8,308.9,1527,324,189,0,0,0,0,0,0
147249,1,298.9,309,1410,657,191,1,0,0,1,1,0
14930,0,298.9,309,1924,226,193,0,0,0,0,0,0
147251,1,298.9,309.1,1452,455,196,0,0,0,0,0,0
147252,1,298.9,309.1,1369,444,198,0,0,0,0,0,0
147253,1,299,309.1,1592,35,200,0,0,0,0,0,0
147254,1,298.9,309,1601,323,202,0,0,0,0,0,0
147255,1,298.8,308.9,1379,467,204,0,0,0,0,0,0
147256,1,298.8,308.9,1461,479,206,0,0,0,0,0,0
147257,1,298.8,308.9,1455,413,208,1,1,0,0,0,0
147258,1,298.8,308.9,1398,515,0,0,0,0,0,0,0
147259,1,298.8,308.9,1402,379,2,0,0,0,0,0,0
229494,2,298.8,308.8,1445,499,4,0,0,0,0,0,0
147261,1,298.9,308.9,1450,475,9,0,0,0,0,0,0
147262,1,298.9,308.9,1453,408,11,0,0,0,0,0,0
147263,1,299,309,1469,401,13,0,0,0,0,0,0
147264,1,298.9,308.9,1422,476,15,0,0,0,0,0,0
14945,0,299,309,1804,268,17,0,0,0,0,0,0
229500,2,299,309,1436,439,20,0,0,0,0,0,0
147267,1,299,309,1544,318,25,0,0,0,0,0,0
14948,0,299,309,1419,452,27,0,0,0,0,0,0
14949,0,298.9,308.9,1487,395,30,0,0,0,0,0,0
147270,1,298.9,308.9,1753,258,33,0,0,0,0,0,0
147271,1,298.9,308.9,1830,249,35,0,0,0,0,0,0
14952,0,298.9,308.9,1727,271,37,0,0,0,0,0,0
147273,1,299.1,309,1450,43,40,0,0,0,0,0,0
147274,1,299,308.9,1622,319,42,0,0,0,0,0,0
14955,0,299,309,1351,522,44,0,0,0,0,0,0
14956,0,299,309,1575,353,47,0,0,0,0,0,0
14957,0,298.9,308.9,1750,299,50,0,0,0,0,0,0
147278,1,298.9,308.8,1529,327,53,0,0,0,0,0,0
147279,1,298.8,308.8,1523,444,55,0,0,0,0,0,0
147280,1,298.8,308.9,1852,25,57,0,0,0,0,0,0
147281,1,298.8,308.8,1991,207,59,0,0,0,0,0,0
147282,1,298.8,308.8,1555,406,61,0,0,0,0,0,0
14963,0,298.8,308.8,1441,405,63,0,0,0,0,0,0
147284,1,298.8,308.7,1450,434,66,0,0,0,0,0,0
147285,1,298.8,308.7,1591,311,68,0,0,0,0,0,0
147286,1,298.8,308.7,1445,485,70,0,0,0,0,0,0
14967,0,298.8,308.8,1497,468,72,0,0,0,0,0,0
229522,2,298.9,308.8,1621,327,75,0,0,0,0,0,0
147289,1,298.9,308.7,1572,341,80,0,0,0,0,0,0
147290,1,298.8,308.6,1872,225,82,0,0,0,0,0,0
229525,2,298.7,308.6,1499,435,84,0,0,0,0,0,0
14972,0,298.8,308.7,1498,395,89,0,0,0,0,0,0
14973,0,298.8,308.6,1486,419,92,0,0,0,0,0,0
147294,1,298.8,308.6,1680,294,95,0,0,0,0,0,0
147295,1,298.8,308.6,1431,457,97,0,0,0,0,0,0
147296,1,298.9,308.7,1564,341,99,0,0,0,0,0,0
147297,1,298.8,308.6,1599,33,101,0,0,0,0,0,0
14978,0,298.8,308.6,1707,281,103,0,0,0,0,0,0
147299,1,298.7,308.5,1467,407,106,0,0,0,0,0,0
147300,1,298.9,308.7,1433,447,108,0,0,0,0,0,0
147301,1,298.9,308.7,1558,412,110,0,0,0,0,0,0
147302,1,299,308.8,1310,507,112,0,0,0,0,0,0
147303,1,298.9,308.7,1546,434,114,0,0,0,0,0,0
147304,1,298.9,308.7,1727,294,116,0,0,0,0,0,0
147305,1,298.9,308.6,1560,322,118,0,0,0,0,0,0
147306,1,299,308.6,1329,605,120,0,0,0,0,0,0
147307,1,298.9,308.6,1413,465,122,0,0,0,0,0,0
147308,1,299,308.6,1587,386,124,0,0,0,0,0,0
147309,1,298.9,308.5,1559,343,126,0,0,0,0,0,0
147310,1,298.8,308.4,1473,411,128,0,0,0,0,0,0
147311,1,298.8,308.4,1737,277,130,0,0,0,0,0,0
14992,0,298.7,308.4,1441,432,132,0,0,0,0,0,0
14993,0,298.7,308.4,1430,496,135,0,0,0,0,0,0
147314,1,298.8,308.4,1369,53,138,0,0,0,0,0,0
14995,0,298.8,308.5,1711,285,140,0,0,0,0,0,0
229550,2,298.7,308.5,1420,457,143,0,0,0,0,0,0
147317,1,298.7,308.6,1297,553,148,0,0,0,0,0,0
229552,2,298.8,308.6,1449,494,150,0,0,0,0,0,0
147319,1,298.8,308.6,1268,558,155,0,0,0,0,0,0
147320,1,298.8,308.6,1511,361,157,0,0,0,0,0,0
147321,1,298.7,308.5,1544,352,159,0,0,0,0,0,0
15002,0,298.6,308.4,1778,282,161,0,0,0,0,0,0
229557,2,298.6,308.4,1407,505,164,0,0,0,0,0,0
15004,0,298.6,308.4,1391,424,169,0,0,0,0,0,0
147325,1,298.5,308.4,1513,336,172,0,0,0,0,0,0
229560,2,298.5,308.4,1612,361,174,0,0,0,0,0,0
147327,1,298.4,308.4,1515,401,179,0,0,0,0,0,0
15008,0,298.3,308.3,1379,48,181,0,0,0,0,0,0
147329,1,298.4,308.3,1473,399,184,0,0,0,0,0,0
147330,1,298.4,308.3,1422,427,186,0,0,0,0,0,0
15011,0,298.4,308.2,1463,376,188,0,0,0,0,0,0
15012,0,298.4,308.2,1584,41,191,0,0,0,0,0,0
147333,1,298.4,308.2,1850,27,194,0,0,0,0,0,0
147334,1,298.4,308.2,1528,362,196,0,0,0,0,0,0
229569,2,298.4,308.2,1987,198,198,0,0,0,0,0,0
15016,0,298.4,308.1,1495,46,203,0,0,0,0,0,0
229571,2,298.4,308.2,1478,435,206,0,0,0,0,0,0
15018,0,298.4,308.2,1499,40,211,0,0,0,0,0,0
147339,1,298.4,308.2,1471,47,214,0,0,0,0,0,0
147340,1,298.4,308.2,1282,607,216,1,0,0,0,1,0
147341,1,298.3,308.1,1412,523,218,1,0,0,0,1,0
147342,1,298.3,308.1,1586,355,0,0,0,0,0,0,0
15023,0,298.4,308.2,1468,438,2,0,0,0,0,0,0
15024,0,298.5,308.3,1440,436,5,0,0,0,0,0,0
147345,1,298.5,308.4,1733,26,8,0,0,0,0,0,0
229580,2,298.4,308.2,1612,326,10,0,0,0,0,0,0
229581,2,298.4,308.3,1458,429,15,0,0,0,0,0,0
147348,1,298.4,308.3,1433,623,20,1,0,0,1,0,0
147349,1,298.4,308.3,1318,591,22,0,0,0,0,0,0
15030,0,298.4,308.2,1610,35,24,0,0,0,0,0,0
147351,1,298.2,308.1,1462,508,27,0,0,0,0,0,0
15032,0,298.1,308,1924,208,29,0,0,0,0,0,0
15033,0,298.2,308,1591,337,32,0,0,0,0,0,0
147354,1,298.2,308.1,1306,583,35,0,0,0,0,0,0
147355,1,298.2,308.1,1382,435,37,0,0,0,0,0,0
147356,1,298.2,308.1,1618,347,39,0,0,0,0,0,0
147357,1,298.2,308.2,1988,214,41,0,0,0,0,0,0
147358,1,298.2,308.2,1436,502,43,0,0,0,0,0,0
147359,1,298.2,308.3,1304,498,45,0,0,0,0,0,0
147360,1,298.2,308.3,1475,499,47,0,0,0,0,0,0
229595,2,298.2,308.3,1824,242,49,0,0,0,0,0,0
15042,0,298.1,308.2,1342,481,54,0,0,0,0,0,0
147363,1,298.1,308.2,1485,407,57,0,0,0,0,0,0
147364,1,298.2,308.2,1667,306,59,0,0,0,0,0,0
147365,1,298.2,308.2,1446,382,61,0,0,0,0,0,0
147366,1,298.1,308.3,1301,56,63,0,0,0,0,0,0
147367,1,298.2,308.4,1379,431,65,0,0,0,0,0,0
147368,1,298.3,308.5,1606,336,67,0,0,0,0,0,0
15049,0,298.3,308.4,1539,434,69,0,0,0,0,0,0
147370,1,298.2,308.4,1477,499,72,0,0,0,0,0,0
147371,1,298.2,308.4,1666,346,74,0,0,0,0,0,0
229606,2,298.2,308.4,1398,518,76,0,0,0,0,0,0
229607,2,298.2,308.4,1678,346,81,0,0,0,0,0,0
15054,0,298.2,308.5,2678,107,86,1,0,0,1,0,0
147375,1,298.3,308.5,1453,429,89,0,0,0,0,0,0
229610,2,298.3,308.6,1432,495,91,0,0,0,0,0,0
15057,0,298.4,308.6,1527,409,96,0,0,0,0,0,0
147378,1,298.4,308.7,1588,35,99,0,0,0,0,0,0
147379,1,298.4,308.6,1433,471,101,0,0,0,0,0,0
147380,1,298.4,308.6,1609,35,103,0,0,0,0,0,0
147381,1,298.3,308.5,1575,412,105,0,0,0,0,0,0
15062,0,298.4,308.5,1636,357,107,0,0,0,0,0,0
147383,1,298.4,308.5,1490,379,110,0,0,0,0,0,0
147384,1,298.4,308.5,1741,328,112,0,0,0,0,0,0
15065,0,298.5,308.6,1344,53,114,0,0,0,0,0,0
147386,1,298.5,308.7,1609,353,117,0,0,0,0,0,0
15067,0,298.4,308.7,1421,607,119,1,0,0,1,0,0
147388,1,298.4,308.6,1591,367,122,0,0,0,0,0,0
147389,1,298.4,308.6,1477,44,124,0,0,0,0,0,0
147390,1,298.4,308.7,1523,361,126,0,0,0,0,0,0
147391,1,298.5,308.7,1575,339,128,0,0,0,0,0,0
229626,2,298.4,308.7,1344,529,130,0,0,0,0,0,0
147393,1,298.4,308.7,1386,449,135,0,0,0,0,0,0
15074,0,298.3,308.6,1589,371,137,0,0,0,0,0,0
147395,1,298.3,308.6,1548,403,140,0,0,0,0,0,0
147396,1,298.3,308.6,1499,383,142,0,0,0,0,0,0
147397,1,298.3,308.5,1664,316,144,0,0,0,0,0,0
147398,1,298.3,308.6,1447,381,146,0,0,0,0,0,0
15079,0,298.3,308.5,1434,462,148,0,0,0,0,0,0
147400,1,298.3,308.5,1416,527,151,0,0,0,0,0,0
229635,2,298.4,308.5,1827,243,153,0,0,0,0,0,0
147402,1,298.4,308.6,1304,45,158,0,0,0,0,0,0
147403,1,298.4,308.6,1569,344,160,0,0,0,0,0,0
147404,1,298.3,308.6,1584,293,162,0,0,0,0,0,0
147405,1,298.3,308.5,1362,538,164,0,0,0,0,0,0
147406,1,298.3,308.4,1329,492,166,0,0,0,0,0,0
147407,1,298.3,308.5,1539,361,168,0,0,0,0,0,0
15088,0,298.3,308.5,1629,371,170,0,0,0,0,0,0
147409,1,298.3,308.5,1538,322,173,0,0,0,0,0,0
147410,1,298.3,308.6,1570,348,175,0,0,0,0,0,0
147411,1,298.3,308.4,1408,431,177,0,0,0,0,0,0
147412,1,298.2,308.4,1424,476,179,0,0,0,0,0,0
147413,1,298.2,308.4,1512,349,181,0,0,0,0,0,0
147414,1,298.2,308.4,1478,429,183,0,0,0,0,0,0
15095,0,298.1,308.3,1680,337,185,0,0,0,0,0,0
147416,1,298.1,308.3,1495,387,188,0,0,0,0,0,0
15097,0,298,308.1,1552,366,190,0,0,0,0,0,0
147418,1,297.9,308.1,1393,503,193,0,0,0,0,0,0
147419,1,298,308.2,1611,306,195,0,0,0,0,0,0
15100,0,298,308.1,1339,516,197,0,0,0,0,0,0
147421,1,298,308.1,1777,243,200,0,0,0,0,0,0
147422,1,298,308.2,1348,588,202,1,0,0,0,1,0
147423,1,298,308.2,1442,441,204,0,0,0,0,0,0
15104,0,298,308.2,1395,491,206,0,0,0,0,0,0
15105,0,297.9,308.1,1627,314,209,0,0,0,0,0,0
147426,1,297.9,308.1,1585,335,212,0,0,0,0,0,0
147427,1,298,308.2,1469,455,214,0,0,0,0,0,0
147428,1,298,308.3,1362,568,216,1,0,0,0,1,0
147429,1,298,308.3,1405,562,218,1,0,0,0,1,0
147430,1,298,308.3,1662,327,0,0,0,0,0,0,0
15111,0,298,308.2,1466,426,2,0,0,0,0,0,0
147432,1,298,308.2,1620,358,5,0,0,0,0,0,0
147433,1,298,308.2,1357,482,7,0,0,0,0,0,0
147434,1,298,308.2,1514,379,9,0,0,0,0,0,0
147435,1,298,308.2,1489,404,11,0,0,0,0,0,0
147436,1,298.1,308.3,1331,63,13,0,0,0,0,0,0
147437,1,298,308,1615,295,15,0,0,0,0,0,0
147438,1,298.1,308.2,1482,379,17,0,0,0,0,0,0
15119,0,298.1,308.2,1420,639,19,1,0,0,1,0,0
15120,0,298.2,308.3,1522,491,22,0,0,0,0,0,0
147441,1,298.1,308.2,1654,321,25,0,0,0,0,0,0
15122,0,298.1,308.2,1736,268,27,0,0,0,0,0,0
15123,0,298,308.1,1587,323,30,0,0,0,0,0,0
147444,1,298.1,308.2,1390,475,33,0,0,0,0,0,0
147445,1,298,308.1,1454,371,35,0,0,0,0,0,0
229680,2,298,308.1,1440,437,37,0,0,0,0,0,0
147447,1,297.9,308,1954,211,42,0,0,0,0,0,0
229682,2,297.9,308,1800,248,44,0,0,0,0,0,0
147449,1,298,308,1524,37,49,0,0,0,0,0,0
229684,2,298,308,1520,396,51,0,0,0,0,0,0
15131,0,298.1,308.1,1452,408,56,0,0,0,0,0,0
147452,1,298.1,308.1,1484,404,59,0,0,0,0,0,0
147453,1,298.1,308,1426,46,61,0,0,0,0,0,0
147454,1,298.1,308,1652,285,63,0,0,0,0,0,0
147455,1,298,308,1401,547,65,0,0,0,0,0,0
